time_ms,ax,ay,az,gx,gy,gz,load_raw
146585,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220537
146640,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220663
146692,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220533
146743,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220533
146794,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220498
146844,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220541
146894,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220579
146944,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220591
146994,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220629
147048,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220656
147100,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220440
147151,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220596
147205,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220536
147255,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220643
147308,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220604
147361,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220624
147411,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220616
147463,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220594
147513,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220541
147565,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220549
147615,1.238281,1.554688,9.453125,0.000000,0.000000,0.000000,-220577
147665,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220626
147715,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220587
147765,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220571
147820,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220577
147872,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220582
147923,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220583
