time_ms,ax,ay,az,gx,gy,gz,load_raw
1478330,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-219207
1478380,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-218696
1478430,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-211710
1478480,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-5941
1478530,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,147257
1478584,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,184283
1478637,1.582031,1.785156,9.382813,0.000000,0.000000,0.000000,164405
1478687,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,84576
1478740,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-63403
1478790,1.542969,1.785156,9.308594,0.000000,0.000000,0.000000,-200704
1478844,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-219006
1478898,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-218118
1478948,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-216423
1479000,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-210923
1479050,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,18865
1479100,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,136258
1479150,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,167365
1479200,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,165754
1479250,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,46357
1479300,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-134435
1479350,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-212071
1479401,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-218596
1479451,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-217339
1479504,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-216089
1479557,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-59431
1479608,1.582031,1.785156,9.343750,0.000000,0.000000,0.000000,96976
1479660,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,127264
1479710,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,152175
1479764,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-83566
1479817,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-209646
1479867,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-217928
1479918,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-218437
1479968,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-218129
1480021,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-138213
1480071,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,49304
1480121,1.542969,1.824219,9.304688,0.000000,0.000000,0.000000,85034
1480171,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,119248
1480221,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,117879
1480275,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,45077
1480328,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-103742
1480378,1.582031,1.824219,9.386719,0.000000,0.000000,0.000000,-207417
1480431,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-218422
1480481,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-218219
