pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.027524333,126416414,3.266,-9.176,-0.617,0.008,0.008,0.012,-222052
2.027675958,126422635,3.266,-9.176,-0.617,-0.008,0.006,-0.004,-222800
2.027815583,126426856,3.266,-9.176,-0.617,-0.002,0.004,0.006,-223055
2.027963125,126431077,3.266,-9.176,-0.617,-0.004,-0.010,0.008,-221989
2.028102875,126436298,3.266,-9.176,-0.617,0.002,0.002,-0.008,-222020
2.028247208,126440519,3.266,-9.176,-0.617,-0.004,-0.002,-0.004,-223212
2.028417625,126444740,3.305,-9.133,-0.578,-0.004,-0.002,-0.004,-223675
2.028564667,126447961,3.305,-9.133,-0.578,-0.010,-0.006,0.010,-221490
2.028712375,126454182,3.305,-9.133,-0.578,0.000,0.008,-0.002,-221691
2.028857125,126459403,3.305,-9.133,-0.578,-0.004,0.000,0.004,-222823
2.029003833,126463624,3.305,-9.133,-0.578,-0.002,0.004,-0.006,-223138
2.029147625,126467845,3.305,-9.133,-0.578,-0.004,-0.006,-0.010,-222108
2.029293625,126472066,3.305,-9.133,-0.578,-0.002,0.004,0.000,-222294
2.029434333,126477287,3.227,-9.137,-0.617,-0.002,0.004,0.000,-222788
2.029583833,126480508,3.227,-9.137,-0.617,-0.010,0.004,-0.002,-222270
2.029727917,126485729,3.227,-9.137,-0.617,0.002,0.014,-0.002,-221401
2.029867458,126489950,3.227,-9.137,-0.617,0.008,0.006,-0.012,-223059
2.0301325,126493171,3.227,-9.137,-0.617,-0.002,-0.008,0.004,-221939
2.030275625,126498392,3.227,-9.137,-0.617,-0.004,0.002,-0.002,-222431
2.03042425,126502613,3.227,-9.137,-0.617,-0.002,0.000,0.006,-222080
2.030567292,126506834,3.227,-9.172,-0.578,-0.002,0.000,0.006,-221763
2.030704375,126509055,3.227,-9.172,-0.578,0.008,-0.008,0.014,-222535
2.030847375,126514276,3.227,-9.172,-0.578,-0.012,0.008,0.000,-222485
2.031234083,126519497,3.227,-9.172,-0.578,0.000,0.000,-0.002,-222702
2.031383208,126523718,3.227,-9.172,-0.578,-0.002,0.002,0.002,-222914
2.031525125,126527939,3.227,-9.172,-0.578,0.000,-0.006,0.002,-222654
2.031681958,126533161,3.227,-9.172,-0.578,-0.002,0.010,-0.010,-222699
2.031822625,126538382,3.227,-9.172,-0.578,-0.002,0.010,-0.010,-222289
2.03196125,126540603,3.227,-9.172,-0.578,0.002,0.008,-0.002,-222419
2.032111708,126545824,3.227,-9.172,-0.578,-0.008,-0.006,0.008,-223157
2.032260333,126550045,3.266,-9.094,-0.617,-0.008,-0.006,0.008,-221612
2.0324035,126553266,3.266,-9.094,-0.617,0.002,0.006,-0.002,-222910
2.032546542,126558487,3.266,-9.094,-0.617,0.002,0.000,-0.002,-222354
2.032690792,126562708,3.266,-9.094,-0.617,0.000,-0.008,0.002,-222567
2.032835667,126566929,3.266,-9.094,-0.617,0.000,0.000,0.002,-222828
2.032980458,126572150,3.266,-9.094,-0.617,-0.002,0.006,0.004,-223245
