frame_idx,pc_time_s
588,19.61248475
589,19.644248958
590,19.681314583
591,19.713626
592,19.747346083
593,19.782323083
594,19.815690833
595,19.846133167
596,19.879863167
597,19.912994958
598,19.947077042
599,19.981943458
600,20.012966917
601,20.047680792
602,20.079536417
603,20.112995208
604,20.14486275
605,20.182392833
606,20.210492333
607,20.245091708
608,20.278758625
609,20.314109958
610,20.346832333
611,20.379161208
612,20.411719417
613,20.443719875
614,20.479688583
615,20.514552583
616,20.547035
617,20.582884958
618,20.611728208
619,20.645290125
620,20.679519792
621,20.713262667
622,20.747007167
623,20.783095083
624,20.81560175
625,20.847909083
626,20.8810855
627,20.914083083
628,20.947758375
629,20.981274417
630,21.011832125
631,21.044650917
632,21.0793755
633,21.112367083
634,21.144704208
635,21.182242417
636,21.215758083
637,21.245816042
638,21.279184417
639,21.311380042
640,21.3336665
641,21.366999792
642,21.400333125
643,21.43587875
644,21.472708417
645,21.508706375
646,21.545601833
647,21.581136792
648,21.612431375
649,21.645093833
650,21.679547792
651,21.711177625
652,21.747246792
653,21.78199725
654,21.814674625
655,21.844819
656,21.880997083
657,21.911532875
658,21.94395725
659,21.981354125
660,22.012596708
661,22.043832083
662,22.078338875
663,22.110513917
664,22.141023708
665,22.173988458
666,22.207467625
667,22.2402555
668,22.275870292
669,22.306903708
670,22.339831792
671,22.380225542
672,22.41003825
673,22.44525575
674,22.48051925
675,22.51463425
676,22.547579917
677,22.583001292
678,22.614674375
679,22.646457625
680,22.680813583
681,22.714593292
682,22.747967667
683,22.782790875
684,22.815843167
685,22.848338792
686,22.880547167
687,22.912720708
688,22.947365833
689,22.982338708
690,23.014452542
691,23.046085583
692,23.079219458
693,23.113532625
694,23.146480625
695,23.183423667
696,23.214474917
697,23.247379125
698,23.279449042
699,23.312612792
700,23.345595667
701,23.381277042
702,23.413027208
703,23.445652833
704,23.47883675
705,23.514420167
706,23.548367583
707,23.581734958
708,23.613124042
709,23.645456583
710,23.679883333
711,23.714628625
712,23.747110208
713,23.782097333
714,23.814911292
715,23.847428958
716,23.879776292
717,23.914077
718,23.947640708
719,23.982989833
720,24.012900417
721,24.045975583
722,24.078675833
723,24.114356125
724,24.14697425
725,24.182410875
726,24.215315333
727,24.2453425
728,24.280040292
729,24.312720792
730,24.346566
731,24.382990458
732,24.4136585
733,24.447328417
734,24.477615208
735,24.514362958
736,24.548366833
737,24.583208292
738,24.61280225
